iter	Logloss
0	0.628063612
11	0.565037329222	0.5466601918
3	0.5187781621
4	0.499136989655	0.466187967866	0.452117623677	0.43451146258	0.3730831477
99	0.3872891769110	0.372521669
11	0.3550534295
12	0.323750418
13	0.3162888255
114	0.3006592325115	0.2940038861616	0.2873567931717	0.2809567718	18	0.2748859819	19	0.2682032920	20	0.262120121	021	0.256731022	022	0.251075323	023	0.2461978101
24	0.241050825	025	0.235923826	026	0.230996827	027	0.226747128	028	0.222147129	029	0.217796730	30	0.2139319231	31	0.209985673232	0.2063281876
33	0.2022474231
34	0.198688917
35	0.1955346126
36	0.1923564859
37	0.1894095862
38	0.185961395
39	0.1830061721
40	0.1799331306
41	0.176943016
42	0.1743972049
43	0.1717585498
44	0.1691743541
45	0.1665502999
46	0.1639747792
47	0.1618448052
48	0.1594271175
49	0.1572503767
50	0.1549762321
51	0.1527185261
52	0.1506449732
53	0.1487682919
54	0.1468216964
55	0.1448453137
56	0.1429208838
57	0.1408362731
58	0.1381453254
59	0.136525971
60	0.1348235465
61	0.1330157245
62	0.1312578324
63	0.1298180435
64	0.1282933217
65	0.1267938192
66	0.1253564203
67	0.123990301
68	0.122536951
69	0.1212629986
70	0.1198596099
71	0.1186346481
72	0.1174458345
73	0.1163209997
74	0.115051938
75	0.1139124285
76	0.1127767642
77	0.111676432
78	0.1105433106
79	0.1094246328
80	0.1084485974
81	0.1073878836
82	0.1063695979
83	0.1053697501
84	0.1043902936
85	0.1034226062
86	0.1025119336
87	0.1015668583
88	0.1006924183
89	0.09984407375
90	0.09897888318
91	0.09809778089
92	0.09726112066
93	0.09636272882
94	0.09559384643
95	0.09458034502
96	0.09353558512
97	0.09271997908
98	0.0919587236
99	0.09120861943
100	0.0905021739
101	0.08982842064
102	0.08913496965
103	0.08843253136
104	0.08774740921
105	0.08708886418
106	0.08642973464
107	0.08577087612
108	0.0851323821
109	0.0845299769
110	0.08392463394
111	0.08295359477
112	0.08237224202
113	0.08177924251
114	0.08123652049
115	0.08065802764
116	0.07954463771
117	0.07901623324
118	0.07848135231
119	0.07788844214
120	0.07726718236
121	0.07677398567
122	0.07560865924
123	0.07510153791
124	0.07462923037
125	0.07412891609
126	0.07364995031
127	0.07316753001
128	0.07266101566
