iter	Logloss
0	0.5844539641
1	0.5661910205
2	0.528121457
3	0.4973776051
4	0.4676994838
5	0.4582119456
6	0.4468423883
7	0.4440989479
8	0.4438280707
9	0.4428342058
10	0.4401855743
11	0.43771305
12	0.4360858043
13	0.4321829011
14	0.4277665507
15	0.4276627962
16	0.4242032665
17	0.4203541389
18	0.4171659283
19	0.4112776926
20	0.405515726
21	0.4043540568
22	0.4006705754
23	0.3930018445
24	0.3909666129
25	0.3909306659
26	0.3878563101
27	0.3836596042
28	0.379785561
29	0.3774143545
30	0.3768041301
31	0.3748925792
32	0.3670703436
33	0.3610441592
34	0.3529930098
35	0.3479007642
36	0.3452633918
37	0.3394541062
38	0.3375758809
39	0.3340434151
40	0.3286889362
41	0.3240355521
42	0.3177268483
43	0.3157164037
44	0.3120950877
45	0.3072614356
46	0.3056388568
47	0.301499934
48	0.2980034594
49	0.2952203547
50	0.2929201004
51	0.2910594855
52	0.2877295033
53	0.2834291258
54	0.2813951143
55	0.2774782109
56	0.2740324195
57	0.2720581048
58	0.2681301732
59	0.2646852467
60	0.2622667667
61	0.260351085
62	0.2572609777
63	0.2541052436
64	0.2532831196
65	0.2505167266
66	0.2488030099
67	0.2483321
68	0.2453514167
69	0.2430898271
70	0.2411151412
71	0.2402219805
72	0.2376388685
73	0.2350016336
74	0.2323497353
75	0.2297548841
76	0.2282773275
77	0.2266089419
78	0.2247949199
79	0.2229986618
80	0.2219035161
81	0.2202209654
82	0.2182023702
83	0.2160019977
84	0.2146832356
85	0.2135009305
86	0.2121853479
87	0.2104871827
88	0.2094905371
89	0.2079552251
90	0.2068892621
91	0.2059041023
92	0.2041677596
93	0.202723329
94	0.2015287115
95	0.2001788233
96	0.1985862091
97	0.1972825863
98	0.1960700346
99	0.194817549
100	0.1935552088
101	0.1924463227
102	0.1913651965
103	0.1901958042
104	0.189230904
105	0.1874387364
106	0.186543799
107	0.1858598912
108	0.1853501452
109	0.1832040686
110	0.1825729969
111	0.1822304245
112	0.1811246051
113	0.1804497105
114	0.1796090971
115	0.1784559203
116	0.177305026
117	0.176458985
118	0.1761141701
119	0.1757410816
120	0.1741543508
121	0.1732544071
122	0.1720819193
123	0.171541853
124	0.1709193861
125	0.1700586316
126	0.1688612321
127	0.168205114
128	0.1665457482
129	0.1659744644
130	0.1654327734
131	0.1649912863
132	0.1642918346
133	0.1635817247
134	0.1625949019
135	0.1620450364
136	0.1619173551
137	0.1610424726
138	0.1603501127
139	0.1601427804
